Phase,Blue,Red,Score,Winner,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1-2,BP2-3,RP3,RB4,BB4,RB5,BB5,RP4,BP4-5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5
Week 5,Miners,KaBuM! e-Sports,0 - 1,2,12.12b,Senna,Corki,Gangplank,Seraphine,Zeri,Sejuani,Gnar,"Kalista, Renata Glasc","Draven, Sylas",Ahri,Pyke,Kayle,Nautilus,Camille,Olaf,"Amumu, Trundle",Kindred,Top,Bot,Mid,Support,Jungle,Bot,Support,Mid,Top,Jungle
Week 5,paiN Gaming,Flamengo Los Grandes,1 - 0,1,12.12b,Zeri,Wukong,Taliyah,Corki,Renata Glasc,Nautilus,Seraphine,"Kalista, Azir","Ahri, Viego",Lee Sin,Gwen,Amumu,Alistar,Kayle,Blitzcrank,"Gnar, Rell",Shyvana,Bot,Mid,Jungle,Top,Support,Bot,Mid,Jungle,Support,Top
Week 5,Rensga Esports,Liberty,0 - 1,2,12.12b,Kalista,Seraphine,Ahri,Yuumi,Lucian,Zoe,Corki,"Senna, Wukong","Jinx, Tahm Kench",Karma,Jarvan IV,Azir,Sejuani,Kayle,Galio,"Xin Zhao, Gnar",Camille,Mid,Bot,Support,Jungle,Top,Bot,Jungle,Support,Mid,Top
Week 5,FURIA,LOUD,1 - 0,1,12.12b,Gnar,Gwen,Taliyah,Seraphine,Sylas,Wukong,Ahri,"Renata Glasc, Kalista","Lulu, Zeri",Lissandra,Volibear,Jax,Yone,Kayle,Vi,"Olaf, Lee Sin",Rumble,Mid,Support,Bot,Top,Jungle,Support,Bot,Mid,Jungle,Top
Week 5,RED Canids,INTZ,1 - 0,1,12.12b,Senna,Renata Glasc,Kalista,Yuumi,Seraphine,Corki,Wukong,"Viego, Sylas","Lucian, Nami",Xayah,Taliyah,Rakan,Gwen,Nautilus,Amumu,"Cassiopeia, Gnar",Gangplank,Jungle,Bot,Support,Mid,Top,Jungle,Mid,Bot,Support,Top
Week 4,Flamengo Los Grandes,FURIA,0 - 1,2,12.12,Gwen,Senna,Wukong,Lucian,Seraphine,Gnar,Ahri,"Lissandra, Zeri","Yuumi, Ezreal",Lulu,Volibear,Olaf,Viego,Lee Sin,Xin Zhao,"Vi, Sejuani",Yone,Mid,Support,Bot,Jungle,Top,Mid,Bot,Support,Jungle,Top
Week 4,LOUD,Miners,1 - 0,1,12.12,Pyke,Ahri,Corki,Yuumi,Seraphine,Lucian,Wukong,"Lee Sin, Zeri","Kai'Sa, Nautilus",Swain,Sylas,Renata Glasc,Orianna,Braum,Rakan,"Azir, Gragas",Gnar,Jungle,Bot,Support,Mid,Top,Jungle,Bot,Mid,Support,Top
Week 4,INTZ,paiN Gaming,0 - 1,2,12.12,Wukong,Kalista,Corki,Senna,Seraphine,Yuumi,Zeri,"Ahri, Viego","Lissandra, Renata Glasc",Twitch,Volibear,Lulu,Lee Sin,Rakan,Zilean,"Xin Zhao, Gnar",Gwen,Bot,Mid,Support,Jungle,Top,Mid,Jungle,Bot,Support,Top
Week 4,Liberty,RED Canids,0 - 1,2,12.12,Kalista,Corki,Zeri,Senna,Gwen,Seraphine,Lucian,"Wukong, Yuumi","Nami, Ahri",Ezreal,Viego,Kayle,Gangplank,Galio,Lissandra,"Lee Sin, Gnar",Fiora,Bot,Support,Mid,Jungle,Top,Jungle,Support,Bot,Mid,Top
Week 4,KaBuM! e-Sports,Rensga Esports,1 - 0,1,12.12,Renata Glasc,Senna,Lissandra,Ezreal,Seraphine,Wukong,Ahri,"Viego, Zoe","Kalista, Nautilus",Braum,Jayce,Jinx,Kayle,Aphelios,Sejuani,"Olaf, Trundle",Zeri,Mid,Bot,Support,Top,Jungle,Jungle,Mid,Support,Top,Bot
